スターティングフラグ,-0.7657957209899066
プレイタイム,-0.9133951251118644
得点,-1.041214267688113
3P成功,-0.3756939498973125
3P試投,-0.3502964165132012
2P成功,-0.8538295414036413
2P試投,-0.9083222471686293
ダンク,-0.4752835517597196
フリースロー成功,-0.8571760599001053
フリースロー試投,-0.8467409090941129
ファウル,-0.4910927260039763
被ファウル,-0.8475571922009314
オフェンスリバウンド,-0.5766874252956499
ディフェンスリバウンド,-0.7539272966009065
トータルリバウンド,-0.7167195122276323
ターンオーバ,-0.8784414895984821
アシスト,-0.5397934740906971
スティール,-0.5878075261374528
ブロックショット,-0.5028719147533918
被ブロックショット,-0.8172146736637499
ファストブレイクポイント,-0.5235378608544705
ポイントフロムターンオーバー,-0.8229274536729335
2Pインサイドポイント,-0.79184889086028
セカンドチャンスポイント,-0.7350922490349107
period,-0.5862377264874101
clusterid,2.0
