player_id,frag_starting,play_time,points,success_3p,try_3p,success_2p,try_2p,dunk,success_ft,try_ft,faul,faul_receive,rebound_offense,rebound_defense,rebound_total,turn_over,assist,steel,block,block_receive,fast_break_points,points_from_turn_over,2p_inside_points,second_chance_points,frag_6man,period,position,probability_6man
8446,120,71985,0.004931583,0.000347295,0.001208585,0.001611447,0.003334028,0,0.000666806,0.000902966,0.001083559,0.00116691,0.000486212,0.000902966,0.001389178,0.000680697,0.001708689,0.000555671,4.16753E-05,0.000125026,0.000166701,0.000416753,0.001194693,0.000708481,0,186,PG,0.193548387
8447,117,69288,0.006234846,0.000865951,0.00269888,0.001472116,0.003131855,0,0.000692761,0.001024708,0.001068006,0.001327791,0.000736058,0.001082439,0.001818497,0.001342224,0.001977254,0.001197899,0.00017319,0.000202055,0.000764923,0.000938113,0.002309202,0.000490705,0,194,PG,0.193548387
8448,147,75513,0.005005761,0.000569438,0.001668587,0.001456703,0.002754493,1.32428E-05,0.00038404,0.000463496,0.001311033,0.000542953,0.000926993,0.001496431,0.002423424,0.000569438,0.00052971,0.000556196,7.94565E-05,0.000185399,0.000662138,0.000993206,0.002436667,0.000635652,0,195,SF,0.048387097
8449,47,35008,0.005084552,0.001313985,0.003627742,0.000514168,0.001228291,0,0.00011426,0.000228519,0.00139968,0.000285649,0.000171389,0.000628428,0.000799817,0.000485603,0.000314214,0.000285649,2.85649E-05,0.000142824,0.000199954,0.000228519,0.000285649,0.000228519,0,121,PG/SG,0.14516129
8450,177,105495,0.005204038,0.000597185,0.00216124,0.001146974,0.002673112,0,0.001118536,0.001592493,0.001364994,0.001630409,0.000872079,0.001791554,0.002663633,0.001308119,0.001696763,0.001175411,0.000142187,0.000350728,0.000549789,0.000985829,0.00204749,0.000464477,0,239,SF,0.016393443
8451,59,30520,0.003604194,0.000360419,0.000982962,0.001048493,0.002293578,0.000131062,0.00042595,0.000688073,0.001310616,0.001081258,0.001081258,0.001245085,0.002326343,0.000819135,0.000753604,0.000327654,3.27654E-05,0.000196592,0.000131062,0.000229358,0.002096986,0.000491481,0,144,SF,0.096774194
8452,164,106050,0.007732202,0.000471476,0.001310702,0.002536539,0.004535596,0.000537482,0.001244696,0.002121641,0.00135785,0.002451674,0.001687883,0.003083451,0.004771334,0.001056106,0.001452145,0.000726073,0.000528053,0.000282885,0.000603489,0.000858086,0.004299859,0.001301273,0,237,SF/PF,0.112903226
8454,95,56338,0.003124002,0.00040825,0.001686251,0.0006035,0.001668501,0,0.00069225,0.001011751,0.002023501,0.001242501,0.00012425,0.001065001,0.001189251,0.0009585,0.001153751,0.00044375,5.325E-05,0.00019525,0.0001775,0.000497,0.000994,3.55E-05,0,173,PG,0.138461538
8455,35,20783,0.00269451,4.81162E-05,0.000721744,0.001251022,0.002742626,0,4.81162E-05,9.62325E-05,0.00153972,0.000433046,0.000288697,0.001058557,0.001347255,0.000529279,0.000914209,0.000481162,4.81162E-05,4.81162E-05,9.62325E-05,0.000192465,0.00076986,9.62325E-05,0,77,SG,0.048387097
8456,71,43121,0.005728068,0.000440621,0.001391433,0.001600148,0.004383015,0,0.001205909,0.001553767,0.001113147,0.001576958,0.000510192,0.001391433,0.001901626,0.001484196,0.002110341,0.000440621,4.63811E-05,0.000301477,0.000231906,0.000440621,0.001855245,0.000487002,0,114,PG/SG,0.023255814
